Face Detector,Eyes Detector,Headpose Detector,Gaze Detector
0.05233,0.00101,0.00542,0.00288
0.06704,0.0026,0.00308,0.0048
0.03477,0.00072,0.0019,0.00229
0.03904,0.00069,0.00217,0.00239
0.06661,0.00069,0.00193,0.00288
0.06458,0.0009,0.00269,0.00364
0.04257,0.0007,0.00193,0.00226
0.04015,0.00066,0.00194,0.00259
0.03779,0.00096,0.0023,0.00229
0.04122,0.00069,0.00194,0.00236
0.03694,0.00065,0.00201,0.00237
0.04691,0.00069,0.00222,0.00719
0.04049,0.00072,0.00205,0.00239
0.04026,0.00068,0.0027,0.00415
0.04209,0.0007,0.00231,0.00236
0.03944,0.0007,0.00189,0.00236
0.03897,0.00075,0.00192,0.00216
0.03806,0.0007,0.00193,0.00228
0.03884,0.00071,0.002,0.00227
0.03971,0.0007,0.00185,0.00231
0.03838,0.00084,0.00215,0.00242
0.03797,0.00062,0.00182,0.00253
0.03787,0.0007,0.00194,0.00224
0.03973,0.00069,0.00177,0.00228
0.04235,0.00303,0.00213,0.00316
0.0406,0.00068,0.00197,0.00229
0.04483,0.00076,0.00221,0.00313
0.03986,0.00076,0.00214,0.00238
0.04205,0.00097,0.00259,0.00229
0.03913,0.00066,0.00183,0.0023
